achieve achieved
acre acre
across across
action action actions
active active
actively actively
activity activity
additional additional
address address
adorn adorn
advance advance advanced advancing
aef aef
afternoon afternoon
agent agent
aircraft aircraft
aisne aisne
alan alan
albert albert
albertus albertus
album album
alexander alexander
alfred alfred
algerian algerian
alive alive
allow allow
ally allied allies
alma alma
almost almost
along along
also also
altar altars
although although
america america
american american americans
ammunition ammunition
anchor anchor
andriot andriot
annapolis annapolis
anne anne
anniversary anniversary
annual annual
antoinette antoinette
appomattox appomattox
apprentice apprentice
april april
arise arose
army army
arrive arrived
artillery artillery
artist artist
asprey asprey
assault assaults
association association
assortment assortment
attach attach attached
attack attack attacked attacks
attend attended
attractive attractive
audacious audacious
audience audience
auguste auguste
authorize authorized
avenue avenue
award awarded
away away
axelrod axelrod
back back
band band
bank bank
bantam bantam
baptism baptism
barb barbed
barrage barrage
base base
basis basis
battalion battalion battalions
battle battle battles
battlecry battlecry
battleground battlegrounds
bayonet bayonet bayonets
beacon beacon
become became become
begin began beginning
belleau belleau
benjamin benjamin
berry berry
berton berton
best best
big biggest
birth birth
bitch bitches
black black
blind blind
blood blood
bloody bloodiest
bois bois
bonk bonk
book books
bosco bosco
boston boston
botley botley
boulder boulder
bouresches bouresches
boy boy
brady brady
branson branson
brass brass
brave brave
bravery bravery
break breaking
breed breed
brief brief
brigade brigade
bring bringing brought
british british
broad broader
bronze bronze
buckingham buckingham
build building
bundy bundy
bureau bureau
bury buried
byron byron
call called
camp camp
campus campus
captain captain
capture capture captured
carrier carrier
carry carried
casualty casualties
catlin catlin
celebration celebration
cemetery cemetery
ceremony ceremony
chance chance
chapel chapel
charles charles
chateau chateau
chicago chicago
chosin chosin
chronicle chronicle
cipriano cipriano
cite cited
city city
claim claimed
clark clark
classify classified
clear clear cleared clearing
close closest
cold cold
cole cole
colonel colonel
colony colony
combat combat
come came come coming
command command commanded commanding
commandant commandant
commander commander commanders
commemorate commemorated
commemorative commemorative
commission commissioned
common common
commonly commonly
company companies company
component component
compose composed
concentrate concentrate
concern concern
conduct conducted
confident confident
confirm confirmed
consecration consecration
consequence consequence
considerable considerable
consist consisting
consolidate consolidate consolidating
contemporary contemporary
continue continued
continuous continuous
conversation conversations
convince convinced
corp corps
cost cost
could could
counter counter
countermand countermanding
country country
countryman countrymen
courage courage
cowley cowley
create creating
crocker crocker
croix croix
cross cross crosses
crossroad crossroads
crowther crowther
crucible crucible
