abandon abandoned
accommodate accommodates
accord according
achieve achieve
achievement achievements
acquit acquitted
across across
action action actions
adopt adopted
advance advance advanced advances
advocate advocated
afford afford
africa africa
ahead ahead
aid aided
aim aimed
air air
aircraft aircraft
airfield airfields
alert alert
alexander alexander
alliierten alliierten
allow allowed
ally allied
almost almost
along along
also also
although although
american american
ammunition ammunition
amount amount
amtlichen amtlichen
anatomy anatomy
anneux anneux
annually annually
another another
anti anti
anticipate anticipated
approximately approximately
archive archive
area area areas
arise arose
arm arms
armour armour armoured
army armies army
around around
arras arras
arrival arrival
arrive arrive arriving
artillery artillery
assault assault
assemble assembled
assign assigned
atlantic atlantic
attack attack attacked attacking attacks
attention attention
auftrage auftrage
august august
australian australian
award awarded
bank bank
banteux banteux
bantouzelle bantouzelle
bapaume bapaume
barb barbed
barnsley barnsley
barrage barrage
base based
basis basis
battalion battalions
battery battery
battle battle
battlefield battlefield
bearbeitet bearbeitet
become became become
bef bef
begin began
bei bei
bek bek
belgium belgium
bell bells
bem bem
benefit benefiting
benutzung benutzung
ber ber
berkeley berkeley
berlin berlin
besatzungsheer besatzungsheer
beyond beyond
big big biggest
birmingham birmingham
blood blood
bombardment bombardment
bonavis bonavis
bourlon bourlon
bourne bourne
breakthrough breakthrough
bridge bridge
brigadier brigadier
britain britain
british british
bruchm bruchm
build built
bury buried
busigny busigny
byng byng
bypass bypassing
cambrai cambrai
cambridge cambridge
campaign campaigns
canal canal
cantaing cantaing
capacity capacity
capture capture captured
carleton carleton
case case
casualty casualties casualty
caudry caudry
cause causes
cavalry cavalry
celebrate celebrated
cemetery cemetery
center center
centre centre
change changed
chapter chapter
charles charles
choose chosen
chris chris
church church
clear clear
close close
collapse collapsed
colonel colonel
combination combination
combine combine combined
come came
command command
commander commander commanders
commemorate commemorated
commission commission
committee committee
common common
commonwealth commonwealth
compile compiled
conceive conceived
concentrate concentrate
concentration concentration
concurrent concurrent
conduct conduct conducted
conflict conflict
consider consider
considerable considerable
considerably considerably
consolidate consolidating
continue continued
contribution contributions
corp corps
costly costly
could could
count count counted
counter counter
court court
cover cover
cra cra
cratering cratering
credit credit
creep creeping
crest crest
cross cross
crown crown
curve curving
d der
da das
dafadar dafadar
daily daily
darmstadt darmstadt
dawn dawn
day day days
de des
dead dead
december december
decide decided
deep deep
defect defects
defence defence defences
defender defenders
defensive defensive
dem dem
demand demand
deplete depleted
deployment deployments
depth depth
design designed
despite despite
destroy destroyed
determination determination
detonate detonate
deutschen deutschen
develop develop
development developments
diary diaries
die die died
dig dig
direction direction
discus discuss
display displayed
ditch ditched
diversionary diversionary
divert divert
division division divisions
document documents
doi doi
douglas douglas
dragon dragon
drill drill
early earlier early
east east
eastern eastern
effect effect
effective effective
effectiveness effectiveness
effort effort efforts
eight eight
eines eines
einsatz einsatz
einzeldarstellungen einzeldarstellungen
elaborate elaborate
element elements
elles elles
elsewhere elsewhere
emphasis emphasis
empire empire
employ employ
end end
enemy enemy
